id,name,email,phone,country,dob
986,Malathi Swamy,malathi.swamy389@example.com,799317-0695,India,1982-02-02
987,Raghuram Reddy,raghuram.reddy932@example.com,914534-5472,India,1974-10-31
988,Suresh Chettiar,sureshchettiar@example.com,782198-0418,India,1985-04-29
989,Mohan Pandian,mohanpandian@gmail.com,914281-3190,India,1994-05-14
990,Loganathan Gurumurthy,loganathan.gurumurthy965@gmail.com,950391-1142,India,1970-07-27
991,Radhika Gounder,radhikagounder@gmail.com,630524-8088,India,1982-09-01
992,Dinesh Narayanan,dineshnarayanan@gmail.com,875947-3721,Australia,1976-02-19
993,Venkatesh Swaminathan,venkatesh.swaminathan@yahoo.com,898768-8687,India,1988-04-24
994,Sneha Thirunavukkarasu,sneha.thirunavukkarasu736@yahoo.com,886287-2031,India,1981-06-27
995,Swetha Thirunavukkarasu,swetha.thirunavukkarasu392@yahoo.com,930573-0362,India,2003-10-24
996,Natarajan Nadar,natarajan.nadar@gmail.com,894767-7537,India,1983-08-27
997,Deepak Pandian,deepak.pandian@yahoo.com,930576-6194,India,2001-10-31
998,Kavitha Kannan,kavitha18@gmail.com,948201-2840,India,1987-11-09
999,Ravichandran Gounder,ravichandran.gounder460@yahoo.com,639759-5450,India,1991-04-09
1000,Akash Venkataraman,akash.venkataraman@hotmail.com,789812-6574,India,1971-05-19
